time	voltage	current	PAD4Ch1	PAD4Ch2	PAD4Ch3	PAD4Ch4	index
2024-12-06 10:06:54.719786	0.9972541	0.1000569	0.9975703	0.9970063	0.9977391	0.997049	0
2024-12-06 10:06:55.719963	0.9972259	0.1000569	0.9975903	0.9970186	0.9976822	0.997041	1
2024-12-06 10:06:56.720466	0.997242	0.1000565	0.9976116	0.9970098	0.9976422	0.9970475	2
2024-12-06 10:06:57.721139	0.9972329	0.1000566	0.9976001	0.9970369	0.9978739	0.9970397	3
2024-12-06 10:06:58.721299	0.9972359	0.1000567	0.9976091	0.9970311	0.997663	0.9970343	4
2024-12-06 10:06:59.721865	0.9972332	0.1000565	0.9975832	0.9971118	0.9977288	0.9971071	5
2024-12-06 10:07:00.722065	0.9972271	0.1000568	0.997654	0.9970184	0.9976239	0.9971043	6
2024-12-06 10:07:01.722556	0.9972433	0.1000568	0.997597	0.9970594	0.9976458	0.9970654	7
2024-12-06 10:07:02.723004	0.9972279	0.1000567	0.9975785	0.996975	0.9977857	0.9969733	8
2024-12-06 10:07:03.723550	0.997224	0.1000566	0.9975723	0.9969778	0.9978408	0.9970297	9
